Age	3	10	25	50	75	90	97
92	16.7	18.5	20.7	23.3	26.6	30.8	36.2
93	16.7	18.5	20.7	23.3	26.6	30.8	36.2
94	16.7	18.5	20.7	23.3	26.6	30.8	36.2
95	16.7	18.5	20.7	23.3	26.6	30.8	36.2
96	17.5	19.5	21.9	24.8	28.5	33.2	39.4
97	17.5	19.5	21.9	24.8	28.5	33.2	39.4
98	17.5	19.5	21.9	24.8	28.5	33.2	39.4
99	17.5	19.5	21.9	24.8	28.5	33.2	39.4
100	17.5	19.5	21.9	24.8	28.5	33.2	39.4
101	17.5	19.5	21.9	24.8	28.5	33.2	39.4
102	18.3	20.5	23.2	26.4	30.5	35.7	42.6
103	18.3	20.5	23.2	26.4	30.5	35.7	42.6
104	18.3	20.5	23.2	26.4	30.5	35.7	42.6
105	18.3	20.5	23.2	26.4	30.5	35.7	42.6
106	18.3	20.5	23.2	26.4	30.5	35.7	42.6
107	18.3	20.5	23.2	26.4	30.5	35.7	42.6
108	19.1	21.5	24.3	27.9	32.3	38.0	45.5
109	19.1	21.5	24.3	27.9	32.3	38.0	45.5
110	19.1	21.5	24.3	27.9	32.3	38.0	45.5
111	19.1	21.5	24.3	27.9	32.3	38.0	45.5
112	19.1	21.5	24.3	27.9	32.3	38.0	45.5
113	19.1	21.5	24.3	27.9	32.3	38.0	45.5
114	19.9	22.4	25.6	29.4	34.3	40.5	48.6
115	19.9	22.4	25.6	29.4	34.3	40.5	48.6
116	19.9	22.4	25.6	29.4	34.3	40.5	48.6
117	19.9	22.4	25.6	29.4	34.3	40.5	48.6
118	19.9	22.4	25.6	29.4	34.3	40.5	48.6
119	19.9	22.4	25.6	29.4	34.3	40.5	48.6
120	20.7	23.5	26.9	31.1	36.3	43.0	51.8
121	20.7	23.5	26.9	31.1	36.3	43.0	51.8
122	20.7	23.5	26.9	31.1	36.3	43.0	51.8
123	20.7	23.5	26.9	31.1	36.3	43.0	51.8
124	20.7	23.5	26.9	31.1	36.3	43.0	51.8
125	20.7	23.5	26.9	31.1	36.3	43.0	51.8
126	21.6	24.6	28.3	32.8	38.5	45.8	55.2
127	21.6	24.6	28.3	32.8	38.5	45.8	55.2
128	21.6	24.6	28.3	32.8	38.5	45.8	55.2
129	21.6	24.6	28.3	32.8	38.5	45.8	55.2
130	21.6	24.6	28.3	32.8	38.5	45.8	55.2
131	21.6	24.6	28.3	32.8	38.5	45.8	55.2
132	22.6	25.9	29.8	34.7	40.9	48.7	58.7
133	22.6	25.9	29.8	34.7	40.9	48.7	58.7
134	22.6	25.9	29.8	34.7	40.9	48.7	58.7
135	22.6	25.9	29.8	34.7	40.9	48.7	58.7
136	22.6	25.9	29.8	34.7	40.9	48.7	58.7
137	22.6	25.9	29.8	34.7	40.9	48.7	58.7
138	23.8	27.3	31.6	36.9	43.5	51.8	62.5
139	23.8	27.3	31.6	36.9	43.5	51.8	62.5
140	23.8	27.3	31.6	36.9	43.5	51.8	62.5
141	23.8	27.3	31.6	36.9	43.5	51.8	62.5
142	23.8	27.3	31.6	36.9	43.5	51.8	62.5
